16782194,4228100,512151.916503906,129031.372070313,,0,0,,,,,,,,
18880418,6326329,576184.631347656,193064.239501953,,64032.71484375,64032.8674316406,0.1525878906,2.3829676908,0.1525878906,64032.71484375,0,0.1221713345,64032.7452603061,0.0304165561
20978794,8424709,640221.984863281,257101.715087891,,128070.068359375,128070.343017578,0.2746582031,1.9062360606,0.3051868351,128070.037830743,-0.0305286319,0.2443514611,128070.098666117,0.030306742
23076766,10522686,704247.009277344,321126.892089844,,192095.092773438,192095.520019531,0.4272460938,2.3832539233,0.4577563996,192095.062263132,-0.0305103059,0.3665081226,192095.153511409,0.0607379711
25174932,12620856,768277.954101563,385157.958984375,,256126.037597656,256126.586914062,0.5493164063,1.9064268509,0.6103400724,256125.97657399,-0.0610236661,0.4886760218,256126.098238041,0.0606403844
27272915,14718843,832303.314208984,449183.441162109,,320151.397705078,320152.069091797,0.6713867188,1.9065931421,0.7629104369,320151.30618136,-0.0915237181,0.6108332656,320151.458258531,0.0605534531
29369808,16815740,896295.41015625,513175.659179688,,384143.493652344,384144.287109375,0.7934570313,1.907584221,0.915401534,384143.371707841,-0.1219445028,0.7329270432,384143.554182332,0.0605299881
31466701,18912638,960287.506103516,577167.907714844,,448135.589599609,448136.535644531,0.9460449219,2.3844802763,1.0678926311,448135.4677519,-0.1218477092,0.8550208789,448135.680623652,0.0910240429
33563305,21009247,1024270.7824707,641151.336669922,,512118.865966797,512119.964599609,1.0986328125,2.3848089577,1.2203627114,512118.744236898,-0.1217298989,0.9770978874,512118.987501722,0.1215349251
35660182,23106128,1088262.39013672,705143.06640625,,576110.473632813,576111.694335938,1.220703125,1.9075987767,1.372852645,576110.321483293,-0.15214952,1.0991907334,576110.595145204,0.1215123916
37757153,25203102,1152256.86645508,769137.634277344,,640104.949951172,640106.262207031,1.3122558594,1.4306349492,1.5253494144,640104.736857617,-0.2130935551,1.2212889943,640105.040918037,0.0909668651
39853698,27299653,1216238.34228516,833119.293212891,,704086.42578125,704087.921142578,1.4953613281,2.8618512839,1.6778152041,704086.243327374,-0.182453876,1.3433626257,704086.577779952,0.1519987024
41949995,29395954,1280212.24975586,897093.322753906,,768060.333251953,768061.950683594,1.6174316406,1.9081265679,1.8302629587,768060.120420635,-0.212831318,1.4654217006,768060.485261893,0.15200994
44046331,31492293,1344187.34741211,961068.511962891,,832035.430908203,832037.139892578,1.708984375,1.431068302,1.9827135494,832035.157179029,-0.2737291744,1.5874829881,832035.55240959,0.121501387
46142726,33588694,1408164.24560547,1025045.59326172,,896012.329101563,896014.221191406,1.8920898438,2.8620560534,2.1351684308,896012.086022976,-0.243078587,1.7095478855,896012.511643521,0.1825419582
48239093,35685065,1472140.28930664,1089021.7590332,,959988.372802734,959990.386962891,2.0141601563,1.9080628535,2.2876212759,959988.099341615,-0.2734611196,1.8316110363,959988.555351854,0.18254912
50335760,37781736,1536125.48828125,1153007.08007813,,1023973.57177734,1023975.70800781,2.1362304688,1.9077898398,2.4400959377,1023973.26791187,-0.3038654689,1.9536916547,1023973.75431616,0.182538814
52432015,39877995,1600098.11401367,1216979.82788086,,1087946.19750977,1087948.45581055,2.2583007813,1.9081647987,2.592540638,1087945.86326991,-0.3342398568,2.0757482842,1087946.38006226,0.1825524971
54528978,41974963,1664092.34619141,1280974.21264648,,1151940.4296875,1151942.84057617,2.4108886719,2.3844006785,2.7450368256,1151940.09553935,-0.3341481537,2.1978461957,1151940.64272998,0.2130424762
56625917,44071907,1728085.84594727,1344967.86499023,,1215933.92944336,1215936.49291992,2.5634765625,2.3844279686,2.897531268,1215933.59538865,-0.3340547055,2.3199427099,1215934.17297721,0.2435338525
58721982,46167976,1792052.67333984,1408934.81445313,,1279900.75683594,1279903.44238281,2.685546875,1.9083377662,3.0499621509,1279900.39242066,-0.3644152759,2.4419882764,1279901.00039454,0.2435585987
60818456,48264455,1856031.98242188,1472914.27612305,,1343880.06591797,1343882.90405273,2.8381347656,2.3849568371,3.2024227774,1343879.70162996,-0.3642880118,2.5640577155,1343880.33999502,0.2740770502
62914906,50360909,1920010.55908203,1536892.97485352,,1407858.64257813,1407861.6027832,2.9602050781,1.9079873119,3.3548816584,1407858.24790154,-0.3946765803,2.686125699,1407858.9166575,0.2740793792
65011753,52457760,1984001.2512207,1600883.7890625,,1471849.3347168,1471852.41699219,3.0822753906,1.907626069,3.5073694103,1471848.90962278,-0.4250940196,2.8082167981,1471849.60877539,0.2740585925
67108281,54554293,2047982.20825195,1664864.89868164,,1535830.29174805,1535833.52661133,3.2348632813,2.384895408,3.6598339637,1535829.86677736,-0.4249706825,2.9302893814,1535830.59632195,0.3045738998
69204748,56650765,2111961.30371094,1728844.14672852,,1599809.38720703,1599812.7746582,3.3874511719,2.3849648003,3.8122940811,1599808.96236412,-0.4248429092,3.052358413,1599809.72229979,0.335092759
71301163,58747184,2175938.81225586,1792821.77734375,,1663786.89575195,1663790.40527344,3.5095214844,1.9080191661,3.9647504169,1663786.44052302,-0.4552289324,3.1744243585,1663787.23084908,0.335097126
73397900,60843926,2239926.14746094,1856809.26513672,,1727774.23095703,1727777.89306641,3.662109375,2.3846576848,4.1172301693,1727773.77583624,-0.4551207942,3.2965091111,1727774.5965573,0.3656002639
75494214,62940244,2303900.57373047,1920783.81347656,,1791748.65722656,1791752.44140625,3.7841796875,1.908111094,4.2696791602,1791748.17172709,-0.4854994726,3.4185691758,1791749.02283707,0.3656105117
