0 0 
4544294.28100586 4544303.74145508 4544295.07116317
4608305.26733398 4608314.81933594 4608306.02691427
4672325.74462891 4672335.41870117 4672326.50413157
4736348.54125977 4736358.36791992 4736349.33119791
4800361.66381836 4800371.64306641 4800362.48421044
4864372.71118164 4864382.8125 4864373.5315141
4928352.78320313 4928363.0065918 4928353.60353506
4992338.8671875 4992349.24316406 4992339.71802496
5056338.1652832 5056348.66333008 5056339.01608346
5120319.3359375 5120329.98657227 5120320.21725266
5184296.84448242 5184307.6171875 5184297.72580195
5248292.93823242 5248303.83300781 5248293.81952085
5312322.02148438 5312333.06884766 5312322.93319629
5376362.12158203 5376373.29101563 5376363.03317889
5440401.12304688 5440412.41455078 5440402.03453078
5504429.62646484 5504441.07055664 5504430.56837334
5568458.95385742 5568470.52001953 5568459.89567142
5632484.46655273 5632496.15478516 5632485.4082795
5696519.77539063 5696531.61621094 5696520.747529
5760555.29785156 5760567.26074219 5760556.26988362
5824587.6159668 5824599.73144531 5824588.61841617
5888621.94824219 5888634.18579102 5888622.95058751
5952656.89086914 5952669.25048828 5952657.89310925
6016712.12768555 6016724.609375 6016713.12978172
6080735.53466797 6080748.16894531 6080736.56719846
6144765.44189453 6144778.22875977 6144766.50484693
6208800.01831055 6208812.92724609 6208801.08115843
6272827.36206055 6272840.39306641 6272828.42481772
6336873.29101563 6336886.4440918 6336874.35364662
6400911.98730469 6400925.32348633 6400913.11085834
6464953.21655273 6464966.67480469 6464954.33998918
6529012.72583008 6529026.27563477 6529013.81859692
6593073.45581055 6593087.15820313 6593074.57894049
6657134.00268555 6657147.82714844 6657135.12566143
6721192.47436523 6721206.45141602 6721193.62770853
6785238.89160156 6785252.99072266 6785240.04481775
6849281.28051758 6849295.50170898 6849282.43361434
6913321.44165039 6913328.00292969 6913314.81266441
6977370.23925781 6977384.765625 6977371.4531428
7041426.57470703 7041441.19262695 7041427.75792847
7105478.08837891 7105492.85888672 7105479.30198103
7169514.3737793 7169529.26635742 7169515.58727364
7233551.91040039 7233566.92504883 7233553.12378457
7297595.703125 7297610.87036133 7297596.9469046
7361636.41357422 7361651.70288086 7361637.6572376
7425699.76806641 7425715.20996094 7425701.04208789
7489734.98535156 7489750.54931641 7489736.25926731
7553794.15893555 7553809.87548828 7553795.46321737
7617837.40234375 7617853.2409668 7617838.70650452
7681880.55419922 7681896.54541016 7681881.88875663
7745940.24658203 7745956.35986328 7745941.58098701
7810002.59399414 7810018.8293457 7810003.92824161
7874048.76708984 7874065.1550293 7874050.1317282
7938088.62304688 7938105.13305664 7938089.98757064
8002159.97314453 8002176.60522461 8002161.33749362
8066228.94287109 8066245.72753906 8066230.33756756
8130274.29199219 8130291.19873047 8130275.68656359
8194336.45629883 8194353.515625 8194337.8812306
8258331.54296875 8258348.75488281 8258332.99838887
8322307.86132813 8322325.1953125 8322309.31675488
8386278.68652344 8386296.14257813 8386280.14196731
8450271.57592774 8450289.18457031 8450273.06186415
8514243.8659668 8514261.59667969 8514245.35191753
8578224.609375 8578242.4621582 8578226.09532393
8642217.37670898 8642235.3515625 8642218.86263317
8706209.07592773 8706227.20336914 8706210.59234673
