16 63 4.825397 0 505.031746 379.556531
130 59 6.593220 0 541.050847 489.953118
148 57 7.140351 0 559.315789 571.044236
100 35 4.800000 0 891.942857 833.362972
257 28 5.642857 0 1094.428571 724.984518
94 23 4.130435 0 1371.521739 1295.378623
10 23 6.521739 0 1373.391304 1162.882339
427 19 4.947368 0 1585.947368 1092.744216
249 19 5.526316 0 1641.736842 1148.341703
237 19 7.000000 0 1676.263158 1169.065205
407 19 4.526316 0 1678.947368 1269.477927
246 18 7.000000 0 1725.000000 1201.468840
71 14 5.500000 0 2150.285714 1809.776913
202 10 4.000000 0 2843.700000 2298.163864
204 10 5.000000 0 2902.200000 2324.005076
390 10 2.000000 0 2916.600000 1921.805740
79 10 6.000000 0 2944.300000 2335.928043
419 10 3.000000 0 2962.600000 1935.057043
46 10 7.000000 0 3002.900000 2368.568153
12 10 1.000000 0 3024.000000 2047.388034
323 10 8.000000 0 3049.100000 2385.370311
331 10 9.000000 0 3100.300000 2412.514826
9 10 1.000000 0 3115.200000 2109.017054
384 10 4.000000 0 3145.900000 2079.879367
29 9 1.000000 0 3189.000000 2019.961168
367 9 3.000000 0 3190.888889 1972.770543
409 9 4.000000 0 3246.666667 1996.612455
397 9 3.000000 0 3307.888889 2076.173127
172 9 8.000000 0 3455.125000 1819.627407
244 9 6.000000 0 3479.666667 2140.674195
231 9 7.000000 0 3546.555556 2171.060377
296 7 6.000000 0 4010.142857 2462.275985
292 7 7.000000 0 4087.285714 2495.566607
152 7 4.000000 0 4152.714286 2543.860827
334 7 8.000000 0 4153.571429 2520.010777
171 7 5.000000 0 4231.000000 2582.413274
55 7 7.000000 0 4364.857143 2630.690959
328 7 8.000000 0 4460.142857 2671.390767
