11 11 0
11 11 0
22 22 0
33 33 0
33 33 0
66 66 0
77 77 0
77 77 0
88 88 0
99 99 0
66 66 0.00039672
44 44 0.000396729
22 22 0.000427246
33 33 0.000427246
44 44 0.000427246
55 55 0.000427246
66 66 0.000427246
77 77 0.000427246
99 99 0.000427246
33 33 0.00045776
77 77 0.00045776
88 88 0.000457763
77 77 0.000457764
99 99 0.000457764
22 22 0.00125122
44 44 0.00128174
55 55 0.0013122
22 22 0.0078125
55 55 0.0078125
33 33 0.03125
AA AA 0.226562
33 33 0.234375
99 99 0.234375
99 99 0.242188
99 99 0.34375
88 88 0.421875
88 88 0.515625
88 88 0.515625
66 66 0.571838
11 11 0.60434
55 55 0.609375
22 22 0.645202
44 44 0.7453002
55 55 0.882812
99 99 0.9971618
88 88 0.998047
11 11 0.999694
55 55 0.999725
11 11 1
22 22 1
33 33 1
55 55 1
66 66 1
55 55 1.00003
22 22 1.00058
88 88 1.00119
55 55 1.0022583
AA AA 1.00558
77 77 1.00781
77 77 1.3550415
66 66 1.37335
11 11 1.60938
33 33 1.83722
99 99 1.97656
66 66 2
88 88 2.00235
99 99 2.01562
66 66 2.82812
AA AA 3.01562
77 77 3.5
88 88 4.02344
33 33 4.04688
77 77 4.59375
66 66 4.93442
33 33 5.24219
66 66 5.757507
AA AA 9.05469
AA AA 18.0234
99 99 22.0234
88 88 22.1328
44 44 23.08
66 66 25.0234
33 33 30 3.70816
AA AA 31.7959
11 11 37 1.49442
AA AA 40.375
55 55 43.0391
66 66 45.0547
AA AA 46.0469
11 11 48.3
11 11 51.0495
77 77 55.0547
77 77 61.872
AA AA 62.059814
22 22 62.0625
22 22 64.0676
44 44 65.0636
99 99 65.1134
88 88 75.4622
11 11 79.04
55 55 92.0915
22 22 93.0859
