0.5 98141479 130099740 120877697 96835696 21829722 43408620 39392003 29102207 
1 56166454 54740015 34203037 24547777 13900252 14348416 9861438 6612091 
2 12864717 12915868 7770089 5960702 2843830 3412978 2263780 1658142 
3 5096575 6750083 3165234 2596887 1119454 1776230 936083 786750 
4 2438938 3216325 1636981 1423187 477358 879818 483559 462952 
5 1561185 2228934 942891 847471 335309 608042 316541 290631 
6 816308 1196765 600504 547879 193935 333834 206880 205025 
8 833106 794567 338615 298748 213191 232824 127368 124558 
10 345190 630309 169992 188930 83896 183036 75750 91933 
